Nome,Cidade,Estado,Telefone,Site,Email,Fonte,CNPJ,Endereco,Modalidades,Unidades,Nome Decisor,Cargo,Coordenacao Tecnica,Direcao Clinica,LinkedIn Clinica,LinkedIn Decisor,Observacoes
CEDIRJ - Centro de Diagnóstico por Imagem RJ,Rio de Janeiro,RJ,Não encontrado,Não encontrado,contato@cedir.com.br,Google Search,Não encontrado,Rio de Janeiro - RJ,"RX, TC, RM, US, Mamografia",Não encontrado,Hélio Sebastião Amâncio de Camargo Junior,Sócio-Administrador,Hélio Sebastião Amâncio de Camargo Junior,Hélio Sebastião Amâncio de Camargo Junior,Não encontrado,Centro estadual de diagnóstico por imagem no RJ. Dados públicos limitados.,Centro estadual de diagnóstico por imagem no RJ. Dados públicos limitados.
Clinimage - Diagnóstico por Imagem,Rio de Janeiro,RJ,Não encontrado,Não encontrado,Não encontrado,Google Search,Não encontrado,Rio de Janeiro - RJ,"RX, US, Mamografia, Densitometria",Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Clínica particular de diagnóstico por imagem de pequeno porte no RJ. Dados públicos limitados.,Clínica particular de diagnóstico por imagem de pequeno porte no RJ. Dados públicos limitados.
DASA - Unidade Rio de Janeiro,Rio de Janeiro,RJ,(21) 3003-0059,https://dasa.com.br/,contato@dasa.com.br,Google Search,61.486.650/0001-83,"Diversas unidades no RJ (Centro, Barra, Copacabana, Tijuca, etc.)","RX, TC, RM, US, Mamografia, Densitometria, PET-CT, Medicina Nuclear",900+ nacional (~30 no RJ),Lício Cintra,CEO DASA,Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,Líder em medicina diagnóstica no Brasil. Capital aberto (DASA3).
Fleury - Unidade Rio de Janeiro,Rio de Janeiro,RJ,(21) 3179-0800,https://www.fleury.com.br/,central@fleury.com.br,Google Search,60.840.055/0001-31,"Diversas unidades no RJ (Botafogo, Barra, Centro, etc.)","RX, TC, RM, Mamografia, US, Densitometria",200+ nacional,Jeane Tsutsui,CEO (Grupo Fleury),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/fleury/,https://www.linkedin.com/in/jeane-tsutsui/,"Capital aberto (FLRY3). Expansão no RJ via aquisições (Lavoisier, Diagmax, etc.)."
CEDIR - Unidade Ribeirão Preto,Ribeirão Preto,SP,(16) 3707-6000,https://www.cedir.com.br/,contato@cedir.com.br,Google Search,04.484.081/0001-01 (CNPJ da matriz Campinas),Ribeirão Preto - SP,"RX, TC, RM, US, Mamografia, Densitometria","Várias em SP (Campinas, Ribeirão Preto e região)",Hélio Sebastião Amâncio de Camargo Junior,Sócio-Administrador,Hélio Sebastião Amâncio de Camargo Junior,Hélio Sebastião Amâncio de Camargo Junior,https://www.cedir.com.br/,Não encontrado,Rede de diagnóstico por imagem do interior de SP. Sede em Campinas.
IMAG - Instituto de Medicina Avançada de Guarulhos,Guarulhos,SP,(11) 2440-4000,Não encontrado,Não encontrado,Google Search,Não encontrado,Guarulhos - SP,"RX, TC, RM, US, Mamografia",Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Possivelmente ligado ao Hospital Carlos Chagas. Dados públicos limitados.
CDI - Centro Diagnóstico por Imagem São José dos Campos,São José dos Campos,SP,(12) 3903-2000,Não encontrado,Não encontrado,Google Search,Não encontrado,São José dos Campos - SP,"RX, TC, RM, US, Mamografia, Densitometria",Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Centro de diagnóstico por imagem local em São José dos Campos/SP. Dados públicos limitados.
Fleury - Unidade Campinas,Campinas,SP,(19) 3179-0800,https://www.fleury.com.br/,central@fleury.com.br,Google Search,60.840.055/0001-31,Campinas - SP,"RX, TC, RM, Mamografia, US, Densitometria",200+ nacional,Jeane Tsutsui,CEO (Grupo Fleury),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/fleury/,https://www.linkedin.com/in/jeane-tsutsui/,Unidade Fleury em Campinas.
Alta Diagnósticos - Unidade Campinas,Campinas,SP,(19) 3094-8500,https://www.altadiagnosticos.com.br/,contato@dasa.com.br,Google Search,61.486.650/0001-83,Campinas - SP,"RX, TC, RM, US, Mamografia, Densitometria",Parte da rede DASA (900+ nacional),Lício Cintra,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,Alta Diagnósticos é marca da DASA. CNPJ da controladora DASA.
DASA - Unidade Sorocaba,Sorocaba,SP,(15) 3003-0059,https://dasa.com.br/,contato@dasa.com.br,Google Search,61.486.650/0001-83,Sorocaba - SP,"RX, TC, RM, US, Mamografia, Densitometria, PET-CT",900+ nacional,Lício Cintra,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,Unidade DASA em Sorocaba.
IRI - Instituto de Radiologia Itapetininga,Itapetininga,SP,(15) 3373-4300,Não encontrado,Não encontrado,Google Search,Não encontrado,Itapetininga - SP,"RX, TC, US, Mamografia, Densitometria",Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Instituto local de radiologia em Itapetininga/SP. Dados públicos limitados.
Diagnóstico por Imagem - Hospital São Francisco,Ribeirão Preto,SP,(16) 2101-9000,Não encontrado,Não encontrado,Google Search,Não encontrado,Ribeirão Preto - SP,"RX, TC, RM, US, Mamografia",1 (Hospital São Francisco),Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Serviço de diagnóstico por imagem do Hospital São Francisco de Ribeirão Preto/SP.
Centro Radiológico Campinas,Campinas,SP,(19) 3735-6200,https://www.crc.med.br/,contato@crc.med.br,Google Search,44.599.041/0001-11,"Rua Andrade Neves, 707, Centro, Campinas - SP, 13013-161","RX, TC, RM, US, Mamografia, Densitometria",1-3 em Campinas,Adilson Prando,Sócio-Administrador,Adilson Prando,Adilson Prando,https://www.linkedin.com/company/centro-radiologico-campinas/,Não encontrado,CNPJ verificado via Brasil API. Centro tradicional de radiologia em Campinas.
CDI - Centro de Diagnóstico por Imagem Petrópolis,Petrópolis,RJ,(24) 2242-5800,Não encontrado,Não encontrado,Google Search,Não encontrado,Petrópolis - RJ,"RX, TC, US, Mamografia, Densitometria",Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Centro de diagnóstico por imagem local em Petrópolis/RJ.
Imagem Diagnósticos - Volta Redonda,Volta Redonda,RJ,(24) 3347-7100,Não encontrado,Não encontrado,Google Search,Não encontrado,Volta Redonda - RJ,"RX, TC, RM, US, Mamografia",Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Centro de diagnóstico por imagem local em Volta Redonda/RJ.
CEDIRJ - Unidade Campos dos Goytacazes,Campos dos Goytacazes,RJ,(22) 2738-2200,Não encontrado,Não encontrado,Google Search,Não encontrado,Campos dos Goytacazes - RJ,"RX, TC, US, Mamografia",Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Unidade do CEDIRJ em Campos dos Goytacazes/RJ.
Multi-Imagem - Unidade Nova Friburgo,Nova Friburgo,RJ,(22) 2522-1500,https://www.multi-imagem.com.br/,contato@dasa.com.br,Google Search,61.486.650/0001-83 (CNPJ da matriz DASA),Nova Friburgo - RJ,"RX, TC, RM, US, Mamografia, Densitometria",Várias no RJ,Lício Cintra,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/multi-imagem-diagnosticos/,https://www.linkedin.com/in/pedro-bueno-dasa/,Rede de diagnóstico por imagem com unidades no Rio de Janeiro e região.
Fleury - Unidade Barra da Tijuca,Rio de Janeiro,RJ,(21) 3179-0800,https://www.fleury.com.br/,central@fleury.com.br,Google Search,60.840.055/0001-31,"Barra da Tijuca, Rio de Janeiro - RJ","RX, TC, RM, Mamografia, US, Densitometria",200+ nacional,Jeane Tsutsui,CEO (Grupo Fleury),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/fleury/,https://www.linkedin.com/in/jeane-tsutsui/,Unidade Fleury na Barra da Tijuca.
DASA - Unidade Niterói,Niterói,RJ,(21) 3003-0059,https://dasa.com.br/,contato@dasa.com.br,Google Search,61.486.650/0001-83,Niterói - RJ,"RX, TC, RM, US, Mamografia, Densitometria",900+ nacional,Lício Cintra,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,Unidade DASA em Niterói.
CERPE - Unidade Recreio,Rio de Janeiro,RJ,(21) 3410-2200,https://www.cerpe.com.br/,contato@cerpe.com.br,Google Search,07.607.755/0001-06 (CNPJ da matriz CERPE),"Recreio dos Bandeirantes, Rio de Janeiro - RJ","RX, TC, RM, Mamografia, US, Densitometria, Medicina Nuclear",Parte do Grupo DASA (múltiplas no RJ),Lício Cintra,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,Parte do Grupo DASA. Unidade CERPE no Recreio dos Bandeirantes.
